,full_text
63,"Congress @INCIndia believes that farmers in india are backbone of the country and economy, hence their problems should be redressed  on priority basis.  #VachanKiPakkiCongress"
65,@VazeIndian All the constitutional institutions are being systematically destroyed and their credibility has come to stake as they are being used only as a vendetta politics against opposition by Modi regime just prior to elections to gain some brownie points and fool people
66,Notice how the racist sweat factory's combative with black members of Congress? He's not doing that with the white folks. https://t.co/KY9IgsGcLF
67,"#MeraBharat
Most pathetic thing is that the Communists and Congress used Muslim community for their own good and then pushed the community towards destruction..."
69,Can the Congress men and women let him answer? How rude they are! #Whitaker
74,"If the chowkidar is clean, why is scared of a JPC? 
Why was the chowkidar negotiating the #RafaleDeal by passing the MoD?

 https://t.co/7JLdkII9Hc

#PakdaGayaModi
#ChowkidarHiChorHai 
#RafaleScam"
76,"WTF!? So they can manage judges but donâ€™t do that in the case of Sabarimala, Ayodhya, Chidambaramâ€™s stay or Pappuâ€™s bail cancellation? https://t.co/opl9rm7ID5"
77,"\Modi is a coward and a psycopath\"""
82,"More grim stories on how PM Modi's #StartUpIndia is being killed by #AngelTax extortionists despite specific assurances and commitments given by the PM and his Ministers. So who's behind this brutalising of startups? @PiyushGoyal @sureshpprabhu 
https://t.co/XwXfbgJlTY"
88,News Update:Rahul Gandhi drunk 300ml water from his Aquafina 1ltr bottle. Now 700 water remained in bottle.
90,Modi attacking  Mamata  in WB and says she dreams of becoming PM while she cant control violence in WB. Seriously? Modi is allowed to ask this after 2000 ppl were brutally murdered in a genocide in 2002 when he was CM if Gujarat?
93,PM Modi was greeted with anger and resentment with black flags in Guwahati earlier today by protesters opposed to the Citizen Amendment Bill. Will the voice of the people be heard? #DaroMat https://t.co/Hmy9DRgBWf
94,"BJP goons attacks @ArvindKejriwal and as usual @DelhiPolice did nothing???

#à¤²à¥‹à¤•à¤¤à¤‚à¤¤à¥à¤°vsà¤­à¥€à¤¡à¤¼à¤¤à¤‚à¤¤à¥à¤° https://t.co/qJCXJD2my9"
95,@the_hindu has always been anti hindu since  crypto NRam has taken over it. He has gone mad bcz he cannot digest d fact @narendramodi has exposed this corrupt Chrislamist MSM.#CropLikeTheHindu  @smita_muk @mayamadhava @DrPrasadVA @CKP_Vignesh @isvelan https://t.co/Cu3QYhnFnY
97,"Itâ€™s the first time in the history of this country that a CM sat on dharna to shield the corrupt who looted the poor of their hard-earned money. 

Why Mamata Didi is afraid of the investigation against the chit fund scam? : PM Modi #Modi4SonarBangla https://t.co/e2DAWlACyR"
104,"When I joined Twitter recently , my colleague said 'Mam you will not get the VERIFIED ( blue tick) cos TWITTER believes all BJP members are bigots, biased and basically liars .. he also added
 
Who knows may be you will lose your existing verified status of your FB page too ?ðŸ˜³"
105,Little Shiffy needs to be revealed! Enough!  Release the FISA Mr President! What Dems are proposing is unprecedented &amp; unwarranted. We have crimes that need to be addressed &amp; theyâ€™re all pictured below! Let the indictments go forward..letâ€™s see how many in Congress are exposed https://t.co/ZPrAdasNI9
107,"@KirronKherBJP @fgautier26 @the_hindu @RahulGandhi Why are all  Modi bhakts so dumb? What is so important about DM reply?
He has just tried away to shoo away the charges leveled by MoD against Modi by stating
1. This is a overreaction .
2. The MoD can clarify the matter with PMO.
3. Modi was just monitoring.Not negotiating !!!!"
113,"From the party that calls the Army Chief a \Sadak Ka Gunda\""...  The same sociopath called Kargil \""BJP's war\"" and his family REFUSED to celebrate Vijay Diwas for many many years... What a LIAR&gt;&gt; @RahulGandhi https://t.co/1T6tjcZIU4"""
114,To all #GOP congress people freaking out about #WhitakerHearing I have one word for you: #Benghazi motherfuckers!
116,"EXCLUSIVE: 'Congress' #Rafale attack will only bring Modi to power again', says Defence Minister @nsitharaman 
https://t.co/tt2PGDIiil"
123,Rep. @AOC is calling on Congress to cut funding to ICE and Border Patrol until they end their abusive treatment of immigrants https://t.co/7QVfrbH3Fe
126,Snippets from CP Rahul Gandhi's press conference on Rafale Scam today. #PakdaGayaModi @RahulGandhi @priyankac19 @WithPGV @Zoheb_Sh https://t.co/Tjjd29Uvlw
130,"After massive failure of SBI merger NDA Govt has clamoured for yet another!  Of BoB, Vijaya-Dena Banks.  Blind to realities. Sorry state of affairs.
Bank Mergers are anti-People, retrograde Reforms. Govt wake up!! @PMOIndia @SoumyaDatta7 #StopMerger #SavePublicSectorBanks"
135,We are going to change the world â€“ and it take every single one of us standing up together and demanding that Congress takes on climate chaos. The PEOPLE have the power. Itâ€™s time for a #GreenNewDeal.
136,"Modi only interested in pampering his crony corporates!
Modi always neglect poor workers or cheat them with fake promises!
#WorkersAgainstModi https://t.co/z5cNyWXVTJ"
140,"TMC: The Mamata Corrupt party

Over 17 lakh people were cheated in Saradha scam, much more looted in rose valley scam.

When Modi govt is taking action against this scam, why's Mamata stopping him? 
#ModiStopsChitFundScams https://t.co/rkAq5dsMlN"
143,Whitaker ought to be held in contempt of Congress. https://t.co/CNo34KNL57
145,"Double self-goal.
Modi's to teleprompter guided rallies failed to take the Rafale out of top 10 tends.
And N Ram says Parrikar role needs separate investigation. 

#PakdaGayaModi https://t.co/NZ0suUaqAv"
150,"MoD called modi bluff without even a scintilla of ambiguity. This proves beyond doubt that PMO led by modi had embroiled in corrupt RAFALE deal. @khushsundar
@INCTharoorian
@drshamamohd
@laksr_tn
@ashoswai

https://t.co/5EjU4B1RXD"
154,"Not a single tweet by @republic after #RafaleDeal exposed by The Hindu.

But they come up with propaganda to show their Loyalty toward Chiwkidar. 

Aakhir Arnab BJP ka namak Kahta hai! https://t.co/llV7oKjkSi"
157,"Usery. This should be as illegal as hell! Get the f*ing GOP out of Congress &amp; out of the WH!ðŸ¤¬ðŸ¤¬ðŸ¤¬ðŸ¤¬ðŸ¤¬
https://t.co/rlGJrObUNO"
160,"Forget Modi, it's my open challenge to @RahulGandhi to debate with me on Rafale. 
I'll make you cry in 10 mins.
Rafale is a dead horse, as dead as your 2019 dreams, stop beating it.#RafaleDeal
#DarpokModi nahi, #DarpokRahul hai. 
Remains absent during Modi's speech in parliament. https://t.co/wXWFFSUuCt"
164,"Fact, if modi gave 30 cr to Anil ambani so his company and his wealth should be grow. But he is going to be a bankrupt. Why ?

 #CropLikeTheHindu"
165,". . and then we had the case of the governor of Virginia where he stated he would execute a baby after birth.
To defend the dignity of every person I am asking for congress to pass legislation to prohibit the late term abortion of children;
who can feel pain in the mothers womb. https://t.co/rmqjUlpK2C"
171,"Big Breaking: @BSYBJP caught in audio clip saying Modi,Amith Shah can manage supreme court judges, while offering bribe in #OperationKamala 

#BJPBribeExposed #ChowkidarHiChorHai 
#KarnatakaBudget2019"
178,@EdKrassen Whitaker is acting like a juvenile delinquent fool but he's causing the END of his career.  Congress should slap him with legal problems.
179,"ðŸ¹ðŸ¹ðŸ¹ðŸš©ðŸš©ðŸš©Thread posted earlier on how CONgress is running a paid ruthless outsourced misinformation war on SM &amp; MSM to promote #FakeNews #FakeNarratives to mislead &amp; divide voters. Please Click the link &amp; RT all tweets in it!ðŸš©ðŸš©ðŸš©ðŸ¹ðŸ¹ðŸ¹
https://t.co/NnsxAdPb8h"
182,7 The Presstitutes then ask questions for Narendra Modi in debate whether this Country don't belong to Muslims &amp; Dalits? Where is this Hindutva taking the Country to? Any crime on Dalit is blamed on Center &amp; Higher Caste Hindus! ðŸ‘‡https://t.co/D13ZE8yi7z https://t.co/nvSJHWJa4E
183,"Mistakes happen because

- Their bad intention against RW accounts

- Colluding with Congress and their Eco-system

- Their ideology and mind is corrupted with against RW

- Mistake happens is one of the excuse 

- Technology driven by BIASEF employees is good for selective ppl. https://t.co/owb4vNxo4f"
189,"Congress didn't purchase fighter jets during their tenure. When Modi Govt is buying Rafale, Rahul is trying everything so that deal gets cancelled. And now saying to Air Force officers - 'This 30,000 crore can be given to you when you die in a plane crash.' What a cruel joke! https://t.co/wQ28WpAL1v"
192,"PM Modi faces massive protest in Guwahati, black flags shown to him by protesters. https://t.co/3MY8cMKH97"
193,"Do you know how many Indian pilots the Mig-21 killed ? 

Mig 21 was a tube with an engine at one end and a pilot at the other. 
No aerodynamic considerations. A flying coffin. 
The plane was inducted into the IAF by the CONGRESS to please the RUSSIANS. 

#RahulKaBaapChorHai https://t.co/pBiZPc7ADl"
194,"In times of war the PRESIDENT CAN call a NATIONAL EMERGENCY without congress as the US is at war with Isis &amp;, drug smuggling https://t.co/qvTU9259zb"
195,"Rahul questions inflated price.Govt hides behind configuration change.Later revealed that it is same.

Rahul questions objections by Defence Min.Govt didn't reply.Later revealed Def Min objected to new deal.

SC's decision is based on non-existent CAG report.

But #RahulLieCaught"
196,@ASg1956 A fake news of kapil sibbal is spread by Modi Media..my appeal to all the Twitter user..that Modi laat maar bhagao.
203,"@AOC Since you believe you can sign bills, let me explain something to ya. This stupid bill of yours is DOA if by a Miracle this pass in Congress which is doubtful the President will veto this monstrosity. Justice DemonRats the force behind u miscalculated a thing or two lol"
205,"CONGRESS party feels very sad for d pathetic condition of women(as it claims)but d most surprising fact is dat it doesn't try to listen problems of such ladiesðŸ‘‡who really want justice because party is more worried for Mullas than these.
#TripleTalaq 
\AICC Minority Department\"" https://t.co/AhcYoRiqCy"""
208,"Godspeed, @JohnDingell, dedicated public servant, gracious gentleman, Twitter laureate. We are grateful for your service. Michigan's John Dingell, longest-serving member in Congress, dies at 92 https://t.co/LINH8jnGGf via @freep"
211,"@sagarikaghose @PMOIndia How Journalism was sidelined by the  \parallel negotiations\"" between Congress and the Pidi Media. Why were these \""Propaganda News\"" so important for Pappu? #RafaleDeal #CropLikeTheHindu "
216,The hapless CBI has been plunging headlong from one controversy into another after the Modi government came to power.  https://t.co/b82qu1Agns
218,"Ex Defence Minister Manohar Parrikar's response to PM was deliberately cropped by The Hindu, @nramind to give #RahulGandhi another shot at PM on the #RafaleDeal. But to Pappu's dismay, all the lies he has been throwing are shortlived!

#PappuFirPakdaGaya 
#RahulLieCaught https://t.co/IrHXhF1mZv"
221,@TheLinguist5 Correct your tweet @aartic02 . Blocking someone is not the solution.Accept your grammatical mistake &amp; unblock @TheLinguist5 . Nobody will tell you to vote for BJP.ðŸ˜‹ https://t.co/OfGdp0z8of
222,"The expose by @the_hindu on the #RafaleDeal and the discord between the MoD and the PMO lays bare the lies of the @BJP4India. This was bound to come out, and the Prime Minister now cannot duck questions of wrongdoing, undermining other authorities and corruption."
225,"#GreenNewDeal FAQ:

\We will finance the investments for the Green New Deal the same way we paid for the original New Deal, World War II, the bank bailouts, tax cuts for the rich, &amp; decades of warâ€“with public money appropriated by Congress.\"" -@AOC "
227,"@waltshaub @RepDougCollins Whitaker seems to want to run the hearing (five-minute rule, subject matter, etc.) which is consistent with THIS executive branch that believes Congress should defer to it. Odd that Rep. Collins believes our forefathers wanted a king -- not what they were saying from 2008-16."
232,@mkraju @GottaLaff #contempt of congress
233,"#ForTheFirstTime  Chief Editor @RahulGandhi who creates the Fake Narratives

Ist Letter, Half Baked Information- by Def. Secretary then the 2nd Part is Omitted by omitting Parrikars reply.

Letter Sliced &amp; Diced to Suit Rahul Gandhis Narratives

Full  2015 Parrikar letter https://t.co/P6kB3NbvG2"
234,"BJP : Baseless allegations by Congress , SC already gave clean chit , don't they respect SC? 

Media : But this document was neither presented to the SC nor examined by it. 

BJP : See they are afraid because a poor person from a poor background is challenging them."
237,"US congress member @RepMaxineWaters: \if @worldbank board ultimately votes to confirm Mr. Malpass, the Bankâ€™s climate finance agenda, which is an increasingly essential element of global economic cooperation, will also be under threat\"" https://t.co/xoavCThOW0"""
243,"@johncardillo More exclusive video about to be released on infowars in a few minutes. These clips were leaked by some member of congress.
https://t.co/IxDeYtmops"
252,"@EconomicTimes @RahulGandhi If you really have guts and if your document is genuine and if you can prove Modi to be wrong, the whole India will support you. If it turns out to be against you, will you resign from Congress. Go &amp; file a case in the court. Open challenge to you. @narendramodi"
253,"Two months before he died, John Dingell, who served in Congress longer than anyone, published this piece about how to fix it.
https://t.co/xLs593uASm"
255,"After White House misses deadline, Congress turns up heat for answers on journalist Jamal Khashoggi killing and Saudi crown prince's role https://t.co/5Bl1O3bEKl via @ABC News"
258,Haha. BJP IT CELL killing it. Boht hardðŸ”¥ https://t.co/DU81oLhneg
263,@watspn1013 @PredictionMan He's also paid off at least one other that we know of using tax payer money through a Congressional slush fund established for this very thing. Think about that for a moment. Congress actually has a fund to pay off sexual harassment charges. It's sick! And it's our money. âš–ï¸ðŸ‡ºðŸ‡¸
270,The biggest fake news of the year peddled by the Hindu and Rahul Gandhi. @RahulGandhi #CropLikeTheHindu https://t.co/lHPZiw69Il
274,"Put Your Knowledge to the Test Thursday â€“ The Lincoln Family
How many siblings did Abraham Lincoln have?
How many terms in Congress did Lincoln serve?
Robert Lincoln attended what famous and prestigious college?
Which one of the Lincoln children died in the White House? https://t.co/BfXhAx2KMk"
277,"Rahul Gandhi wants our soldiers to die in plane crash. 

He has nothing less than a terrorist mindset! 
This man is the Prime Minister candidate of Congress. #RahulLieCaught #CropLikeTheHindu https://t.co/OM64HcS7uR"
279,@sidmtweets Ah the Secret of hiding #RafaleScam is out!! This is the way Modi &amp; Shah â€œManageâ€ things!! #PakdagayaModi
280,"It took the destruction of a whole of 5 years but in the end, the real character of the most corrupt part in India, the BJP, has come out. Like N Ram said, this is the moment where real journalism returns. The 4th pillar of democracy comes back to life! #RafaleDeal"
281,"John Dingell passing last night is deeply saddening. Truly one of the finest people I have ever known, someone who changed millions of lives.  Here is the column I wrote 5 years ago  after he announced his retirement from Congress.  https://t.co/IhpzrEeK7e"
283,"Must watch to see reality of our PM Modi Ji. His assets, how he lives life, his devotion, sincerity for the country.
My blood boils when this scoundrel khandani chor moron born from a foreign lady calls my hardworking &amp; devoted PM as chor ðŸ˜¡
#ModiDobara 

https://t.co/MFJOndBKRt"
285,"Hmmm. Noted
Come June definetly you won't be disappointed but for sure back to basic #chaiwala
#PakdaGayaModi
#DarpokModi
#RafaleDeal https://t.co/Q8qPfVEo0S"
292,"#RahulLieCaught | These are the parts that were cut from the letter Rahul Gandhi used to make his Rafale \parallel negotiations\"" attack on PM Modi"
293,@funder Matt Whitaker is in Contempt of Congress and should be prosecuted.
297,"@YRDeshmukh I am such a Modi Bhakt..
I just couldn't see the word \Anti-\"" .."
300,"Everybody should shift their focus to BS Yedyurappa 's audio leak in which he can be heard saying ' Don't worry about SC , Modi &amp; Shah will fix the judges ' 

Nothing can be more scary than this. This needs to be immediately probed. 

#AudioLeak"
301,"You know what inspires people? Courage, determination, grit and the ability to take risk. In 2016 when Rahul Gandhi surprised all by joining the students protests in JNU, he faced flak from all. From his party... https://t.co/3o8n4RuvXi"
302,"Those who Believe 
Awwwww Modi doesn't have Kids, so whom will he Loot the Nation for .. 
DO READ ðŸ‘‰ 
PMO was Directly negotiating in #RafaleDeal despite protest by Indian Defence Ministry.  
Isn't that Desh Droh ?? https://t.co/OtFclQ9zce"
306,"#RahulLieCaught | EXCLUSIVE: \No money was given to offset partner\"", says Air Marshal SBP Sinha as he tears into Congress' Rs  30,000 crore given to Anil Ambani by Modi government lie"
308,"When UPA Government came under attack they didnâ€™t label BJP â€˜Desh ke dushmanâ€™. Looks like Modi is really walking on hotter coal calling opposition as enemy of the state in desperation!
#PakdaGayaModi #RafaelDeal"
311,Remember when Congress said it was going to start paying interns? Some House interns are still waiting for paychecks. https://t.co/DOBKAmn1Fw
320,@BarbaraBoxer Subpoena his butt and hold in contempt of Congress
322,Delhi CM's car attacked in Narela area when Kejriwal had gone to inaugurate development works in unauthorised colonies of Narela. AAP alleges attack by BJP workers.
324,How many women have served in congress?  How many men?   Now shut the fuck up. https://t.co/GS1iCWVv2t
334,"@amitabhafirst @vikramwkarve @Guriqbal06 @PashaSehgal @OliveGrin17 @akmpnm2004 @PunamIndian @manmohan16 @kayjay34350 @WoodCheat @sandythapar @ChatyTheCheetah @vigoDoon @Warrior_Mukul @DefenceMinIndia @nsitharaman @PIB_India @adgpi @IAF_MCC @indiannavy @SpokespersonMoD @HQ_IDS_India @BrigMahalingam @kakar_harsha @SinghNavdeep @Jaykaul @jessisajan @bsrangi @cmseth1 @just_1_singh @MajorPoonia @Neeraj7888 @SmritiRDas1 @DrSubhashMoS @tksapru @GenKumar @ArunBajpai @SushilBhasin @BJP4India @PMOIndia @narendramodi @ColTekpal @ColCharanjit @ajitbhinder @Col_Bharat @MajDPSingh @rwac48 @ashokkmrsingh @Vedmalik1 @pradeep56 I never understand this attitude. Indira Gandhi removed OROP but you kept on voting for congress. Sonea Gandhi never implemented OROP &amp; kept 800cr in budget as sideshow.
Modi implemented &amp; gave 35000vr till now but I hv prob bcos he only gave 98% of demands"
335,"If Whitaker refuses to meet with Congress and defies a subpoena, he can be arrested and go to jail for contempt of Congress.

Fun fact, contempt of Congress does not fall under the purview of a presidential pardon. https://t.co/oWqamd1MO3"
341,"In 2018, the worldâ€™s top scientists warned we have 12 years to transform our economy &amp; avert climate catastrophe. Together w/ @AOC @SenMarkey @justicedems &amp; more we brought a plan to Congress matching the urgency + scale of the crisis

add ur voice to ours https://t.co/t30NOqVnFP"
342,"@AlphaMaximus9 @ARanganathan72 @RahulGandhi Journalists can't counter him. Trust me we are left scratching our heads as we keep hearing the random crap he speaks during pressers. God knows what's he snorting.
Whatever image makeover of Congress happened due to Priyanka's entry, it's flushed."
346,"In hating Modi, the Opposition has begun to hate the nation. 

That is why their leaders go to London and do press conferences to show India in bad light : PM @narendramodi https://t.co/8PB9uAmkks"
347,"AASU members, black flags and torchlight protest marks PM Modiâ€™s visit to Guwahati https://t.co/dHQviVcxvK"
348,"Europe's GDPR cut off cybersecurity researchers, law enforcement, opioid activists and anti-piracy groups from the global domain name database. Now a new tech lobby is pushing hard for Congress to reopen the internet's white pages. https://t.co/SONbXvWacQ"
350,"More than 50 percent of India's youth are out of job says #NSSO

For the last 24 hours all we are talking about is #MamataVsCBI 

Neither Modi nor Mamata gives a rats ass about the country.

Ask the right questions! https://t.co/8eep5dKyl5"
353,"It was akin to an attack on democracy. BJP Goons think - (in Sambit's words) -  à¤¦à¥‡à¤¶ à¤‰à¤¨à¤•à¥‡ à¤¬à¤¾à¤ª à¤•à¤¾ à¤¹à¥ˆà¥¤
à¤ªà¤° à¤ªà¤¿à¤›à¤²à¥€ à¤¬à¤¾à¤° à¤œà¥ˆà¤¸à¥‡ à¤¦à¤¿à¤²à¥à¤²à¥€ à¤®à¥‡à¤‚ à¤”à¤•à¤¾à¤¤ à¤¦à¤¿à¤– à¤—à¤¯à¥€ à¤¥à¥€, à¤‡à¤¸ à¤¬à¤¾à¤° à¤«à¤¿à¤° à¤¦à¤¿à¤– à¤œà¤¾à¤à¤—à¥€à¥¤
May be this attack was result of this frustration only.
#à¤²à¥‹à¤•à¤¤à¤‚à¤¤à¥à¤°Vsà¤­à¥€à¤¡à¤¼à¤¤à¤‚à¤¤à¥à¤°"
354,#RahulLieCaught before exposing #pappu please  bring out all the fake news  of their  boot lickers (MSM) from old yrs... Sir @DrGPradhan  we need ur help
359,"@AshaRangappa_ I found myself yelling at the TV, \Is this the way your Mother raised you?  This is so disrespectful to the US Congress and to our Country! How dare you! Just answer the question, Yes or No!\"""""
361,What  a abuse of power by dems and shows completely why nothing gets done in congress.  Get these idiot dems out of office
364,Dogs need your help! Tell Congress to stop cruel taxpayer-funded experiments. - Sign the Petition! https://t.co/EWzG3bm18T via @Change
366,Such Arrogance! Every peak has decline side too... Modi has forgotten this. https://t.co/5DkrjHQhv2
371,"This woman is taking all of us on her shoulders and carrying our outrage to congress with her. 

In 2016, we all felt powerless.

In 2018, we took that power back because reps like @AOC, @AyannaPressley, @IlhanMN, and every other amazing rep refused to back down for us. ðŸ’œ https://t.co/dQ0dMxSBcj"
372,@tavleen_singh It is his ploy to be equated with modi after many such failed attempts by many such joker's... One another I remember is @ArvindKejriwal
374,"â€˜Iâ€™ve figured him out. He is a cowardâ€™: @RahulGandhi attacks PM Narendra Modi
https://t.co/c1UExmqqlA https://t.co/JzGFDCHhdg"
375,@vinirish @oldhandhyd @RahulGandhi Rahul is an uncultured uncouth stupid lying clown. He is highly insensitive and does not understand the sensitivities of  Soldiers and their families. This asshole will mock at anything and anybody. Idiot.
377,"KA BJP functionaries have condemned the brutal murder of #Ramalingam.

But TN political leaders have all got their holes tightly shut.

Graveyard Silence!

#justiceforramalingam"
378,"ACYPL mourns the loss of former Congressman @JohnDingell, the longest-serving member of Congress in US history. World War II veteran, skilled legislator, and lifelong public servant, his legacy sets an example for generations to come. https://t.co/SoknpQsKEb"
382,"Corrupt Modi visited Paris to cancel the previous Rafale deal on behalf of Ambani.He was the broker in the new deal.Lapdog media will still not be ready to expose the scam in new rafale deal.Rather they would try covering up the whole issue.Thanks to @the_hindu 

#PakdaGayaModi https://t.co/QjUnYMzPCA"
385,@KarunaGopal1 Some moron believed that @nitin_gadkari 's 'family' barb was aimed at @narendramodi without realising that all RSS pracharaks have left their families behind to work for Bharat Mata and her à¤ªà¤°à¤® à¤µà¥ˆà¤­à¤µ.  Did they really think Gadkari was running down all those pracharaks?
386,"That's what the British said when they issued GENERAL WARRANTS against political opponents. 

Please stop lying. 

The oversight job of Congress is on government departments, NOT targeted attacks on one individual and family who the corrupt filth of D.C. nearly universally hate! https://t.co/Glt1Jo2fk2"
388,"Defence Minister paper aya samne.  #PakdaGayaModi 
Profited from Rafale Scam:
ðŸ‘‰ BJP
ðŸ‘‰ Anil Ambani
ðŸ‘‰ Modi &amp; 
ðŸ‘‰ Dassault

Lost: due to Rafale Scam:
1) HAL 
2) Air Force
3) Tax Payers
@INCIndia @RahulGandhi
#PakdaGayaModi https://t.co/BJo1FD1CBn"
391,"@bhupendrachaube @narendramodi Bhupendra, get a life. Join BJP amd fight elections. Stop this limitless sycophancy. Its pukeworthy.
@sujataanandan @minicnair @rupagulab"
393,"Congress bought no Bullet Proof Jackets for the Army in the 10 years of UPA rule and endangered the lives of the Armymen and threatened the Security of the Country.

In the 4 and half years of Modi govt, 186000 bullet proof jackets were procured.

#ModiUnstoppable"
395,"How many of you are watching France Italy fighting a diplomatic war? Go deep, you'll find arms dealers &amp; Indian connection. Since they can't succeed on Modi, Macron is being targeted."
398,"Meeting in Burari Assembly of Block Presidents of Main Congress ,Delhi Mahilla Congress office bearers as well as of ex MC candidates to discuss ways to strengthen the party in the assembly. Meeting was held at Burari Block Congress Committee office https://t.co/NMvpEyMdyd"
401,"#LIVE on #ModiInBengal | \We have seen for the first time that a CM is sitting on dharna to protect those who looted the money from the poor\"", says PM Modi taking on Mamata Banerjee."
405,"#ModiUnstoppable
God Kabir Can Kill Cancer
Must watch video
ðŸ‘‡ðŸ‘‡ðŸ‘‡
#WorldCancerDay
@narendramodi 
@BJP4Haryana 
@abpnewshindi 
@AshishSinghLIVE https://t.co/sxOm5qypEp"
407,Congress is a joke - a bad joke #WhitakerHearing
409,"In 2014 Modi became Prime Minister when Indians voted for him massively. Since then he is looting India so massively that now he has become Prime Thief.

#PakdaGayaModi 
#ChowkidarChorHai https://t.co/RtqOYcViGS"
419,I think the bottom line is what @ssudhirkumar said last month that The Hindu seems to have invested heavily into a BJP defeat in the 2019 elections. What else explains their persistence with these lies on Rafale? | More lies came out today https://t.co/Sfv4vb006r
